Name,Location,Open Year-Round,Handicap Accessible,Borough
Carver Playground,Ralph Avenue & Sumpter Street,No,No,Brooklyn
Caserta Playground,"St. Raymond Avenue, Puroy Street",Yes,No,Bronx
Castle Hill Playground,"Parker Street, Castle Hill Avenue, Puroy Street",Yes,No,Bronx
Castlewood Playground (PS 186),Little Neck Parkway & 72 Avenue,Yes,No,Queens
Cauldwell Playground,"Caldwell Avenue, East 163 Street, East 161 Street",Yes,No,Bronx
Cavanaugh Triangle (Angelo Campanero Playground),"East Gun Hill Road, Eastchest Road, & O'Neil Place",Yes,Yes,Bronx
Cedar Playground,"West 179 Street, West Burnside Avenue, Major Deegan Expressway, Sedgewick Avenue",Yes,No,Bronx
Central Park (Ancient Playground),85 ST & 5TH AVE,No,Yes,Manhattan
Central Park (Arsenal),5th Avenue from 60th Street to 65th Street,Yes,No,Manhattan
Central Park (Conservatory Garden),"5th Avenue, 103rd Street to 106th Street",Yes,No,Manhattan
Central Park (Dana Discovery Center),110th Street between Fifth Avenue and Malcolm X Boulevard,Yes,Yes,Manhattan
Central Park (Heckscher Playground),"62 ST, BET WEST & CENTER DRS",No,No,Manhattan
Central Park (Kerbs Boathouse),74th Street near Fifth Avenue,Yes,No,Manhattan
Central Park (Lasker),Central Park at 107th Street,Yes,Yes,Manhattan
Central Park (Loeb Boathouse),East Side between 74th and 75th streets,Yes,No,Manhattan
Central Park (North Meadow Recreation Center),Mid-park at 97th Street,Yes,Yes,Manhattan
Central Park (Ramble),Central Park,No,No,Manhattan
"Central Park (Sheep Meadow, Mineral Springs)",Mid-park at 69th Street,No,Yes,Manhattan
Central Park (Tavern on The Green),Central Park,No,No,Manhattan
Central Park (Tennis Courts),93d Street near the West Drive,Yes,No,Manhattan
Central Park (The Great Hill),West Side from 103rd to 107th streets,No,No,Manhattan
Central Park (The Metropolitan Museum of Art),Fifth Avenue at 82nd Street,Yes,No,Manhattan
Central Park (West 61st),"West Drive, Central Park West, & 65th Street Transverse",No,No,Manhattan
Central Park (Wollman Rink),Center Drive to East Drive (including Gapstow Bridge),Yes,Yes,Manhattan
Central Park Delacorte Comfort Station,Mid-Park at 80th Street,Yes,Yes,Manhattan
Century Playground,Brighton Beach Avenue & West 2 Street,Yes,No,Brooklyn
Challenge Playground (PS 187) 251 Street Playground,251 Street & 63 Avenue,No,No,Queens
Chelsea Park,West 27 Street & 9 Avenue,Yes,No,Manhattan
Chelsea Recreation Center,"South of West 25 Street, 9 to 10 avenues",Yes,Yes,Manhattan
Cherry Tree (Washington) Playground,"99 to 100 streets, 3 Avenue",Yes,No,Manhattan
Chester Playground,"Chester Street, Sutter Avenue",Yes,No,Brooklyn
Ciccarone Park Playground,"Arthur Avenue, East 188 Street",Yes,No,Bronx
City Line Park,Atlantic & Fountain avenues,Yes,No,Brooklyn
Claremont Park,Mount Eden Parkway & Morris Avenue,Yes,No,Bronx
Claremont Park Playground,E 170 Street & Teller Avenue,Yes,No,Bronx
Clark Playground,"3 Avenue, East 144 Street, East 146 Street",Yes,Yes,Bronx
